
python3 torchchat.py generate llama3.1 --quantize '{"linear:int4": {"groupsize": 256}, "precision": {"dtype":"bfloat16"}, "executor":{"accelerator":"cpu"}}' --prompt "Once upon a time," --max-new-tokens 256 --compile --num-samples 3
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
python3 torchchat.py generate llama3.1 --quantize '{"linear:int4": {"groupsize": 256}, "precision": {"dtype":"bfloat16"}, "executor":{"accelerator":"cpu"}}' --prompt "Once upon a time," --max-new-tokens 256 --compile --num-samples 3
Note: NumExpr detected 22 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 16.
One day, I met a stranger who would change my life forever. His name was Maximilian, or Max for short. He was a traveling musician, and I met him one evening when I was working a late shift at the diner. He had stopped in town for the night, and I had brought him his coffee, which was, of course, extra strong.
As we chatted, I learned that Max was a free spirit, a wanderer who had no fixed home or plans. He was a man of few words, but when he talked, he was always passionate and sincere. I was drawn to him, but I didn't want to get my hopes up. After all, he was only in town for a night, and I was just a small-town waitress.
But fate had other plans. Max stayed in town for a few more days, and we started to get to know each other. We would
Time for inference 3: 100.54 sec total, time to first token 1.26 sec with parallel prefill, 255 tokens, 2.54 tokens/sec, 394.27 ms/token
Bandwidth achieved: 12.48 GB/s

========================================

Average tokens/sec: 3.18
Memory used: 0.00 GB
